"","Samples","class"
"113","SRR5103213.A01.htseq","SI.Early.Enterocyte"
"996","SRR5103391.A01.htseq","SI.Stem"
"1441","SRR5102535.A01.htseq","SI.TA.Cells"
"1442","SRR5102999.A01.htseq","SI.TA.Cells"
"1685","GFPneg.C1.Singlet.4.D4.htseq","C.Goblet"
"1882","GFPneg.SI1.Singlet.2.F8.htseq","Blood.Cells"
"1443","SRR5102962.A01.htseq","SI.TA.Cells"
"997","SRR5103412.A01.htseq","SI.Stem"
"1444","SRR5102499.A01.htseq","SI.TA.Cells"
"114","GFPneg.SI1.Singlet.2.D11.htseq","SI.Early.Enterocyte"
"998","SRR5102725.A01.htseq","SI.Stem"
"315","SRR5102487.A01.htseq","SI.Enterocyte.Progenitor"
"1445","SRR5103641.A01.htseq","SI.TA.Cells"
"673","SRR5103663.A01.htseq","SI.Paneth"
"115","SRR5103722.A01.htseq","SI.Early.Enterocyte"
"417","SRR5102946.A01.htseq","SI.Enteroendocrine"
"517","SRR5103710.A01.htseq","SI.Goblet"
"999","SRR5102591.A01.htseq","SI.Stem"
"518","SRR5103599.A01.htseq","SI.Goblet"
"116","SRR5102641.A01.htseq","SI.Early.Enterocyte"
"1000","SRR5103216.A01.htseq","SI.Stem"
"1446","SRR5103706.A01.htseq","SI.TA.Cells"
"117","SRR5103757.A01.htseq","SI.Early.Enterocyte"
"1001","SRR5103416.A01.htseq","SI.Stem"
"1447","SRR5103547.A01.htseq","SI.TA.Cells"
"1448","SRR5103612.A01.htseq","SI.TA.Cells"
"316","NJA00102.F04.htseq","SI.Enterocyte.Progenitor"
"1002","SRR5102399.A01.htseq","SI.Stem"
"519","SRR5103279.A01.htseq","SI.Goblet"
"520","SRR5103335.A01.htseq","SI.Goblet"
"1003","SRR5103106.A01.htseq","SI.Stem"
"674","SRR5103373.A01.htseq","SI.Paneth"
"1004","SRR5103528.A01.htseq","SI.Stem"
"1449","SRR5102983.A01.htseq","SI.TA.Cells"
"1823","SRR5103468.A01.htseq","SI.Tuft.Cells"
"1005","SRR5103560.A01.htseq","SI.Stem"
"1450","SRR5102955.A01.htseq","SI.TA.Cells"
"1006","SRR5102871.A01.htseq","SI.Stem"
"610","SRR5103788.A01.htseq","SI.Late.Enterocyte"
"611","NJA00103.F07.htseq","SI.Late.Enterocyte"
"1451","SRR5101974.A01.htseq","SI.TA.Cells"
"317","GFPneg.SI1.Singlet.2.D8.htseq","SI.Enterocyte.Progenitor"
"612","NJA00102.D08.htseq","SI.Late.Enterocyte"
"118","SRR5103123.A01.htseq","SI.Early.Enterocyte"
"119","GFPneg.SI1.Singlet.2.C9.htseq","SI.Early.Enterocyte"
"318","SRR5103732.A01.htseq","SI.Enterocyte.Progenitor"
"1883","GFPneg.SI1.Singlet.2.B3.htseq","Blood.Cells"
"319","NJA00102.F07.htseq","SI.Enterocyte.Progenitor"
"521","SRR5103726.A01.htseq","SI.Goblet"
"1642","NJA00109.F01.htseq","C.Colonocytes"
"1452","NJA00103.F03.htseq","SI.TA.Cells"
"1007","SRR5103388.A01.htseq","SI.Stem"
"1453","SRR5102386.A01.htseq","SI.TA.Cells"
"1454","SRR5102947.A01.htseq","SI.TA.Cells"
"1008","SRR5103067.A01.htseq","SI.Stem"
"1824","SRR5102867.A01.htseq","SI.Tuft.Cells"
"675","SRR5103671.A01.htseq","SI.Paneth"
"1009","SRR5103039.A01.htseq","SI.Stem"
"320","SRR5103652.A01.htseq","SI.Enterocyte.Progenitor"
"1455","NJA00104.B01.htseq","SI.TA.Cells"
"321","SRR5103768.A01.htseq","SI.Enterocyte.Progenitor"
"1010","SRR5103408.A01.htseq","SI.Stem"
"322","SRR5102476.A01.htseq","SI.Enterocyte.Progenitor"
"613","NJA00104.F03.htseq","SI.Late.Enterocyte"
"1825","SRR5103272.A01.htseq","SI.Tuft.Cells"
"1011","SRR5102587.A01.htseq","SI.Stem"
"1012","SRR5103217.A01.htseq","SI.Stem"
"1643","NJA00109.B07.htseq","C.Colonocytes"
"1456","SRR5103162.A01.htseq","SI.TA.Cells"
"1013","SRR5103716.A01.htseq","SI.Stem"
"676","SRR5103687.A01.htseq","SI.Paneth"
"677","SRR5103358.A01.htseq","SI.Paneth"
"1014","SRR5102604.A01.htseq","SI.Stem"
"1744","GFPpos.C1.Singlet.4.A9.htseq","C.Stem"
"323","SRR5102355.A01.htseq","SI.Enterocyte.Progenitor"
"1015","SRR5103092.A01.htseq","SI.Stem"
"1457","SRR5103734.A01.htseq","SI.TA.Cells"
"1016","SRR5103832.A01.htseq","SI.Stem"
"1458","SRR5103389.A01.htseq","SI.TA.Cells"
"324","SRR5102377.A01.htseq","SI.Enterocyte.Progenitor"
"1017","SRR5102488.A01.htseq","SI.Stem"
"1459","SRR5102832.A01.htseq","SI.TA.Cells"
"120","GFPneg.SI1.Singlet.2.H12.htseq","SI.Early.Enterocyte"
"1018","SRR5102569.A01.htseq","SI.Stem"
"121","NJA00104.A08.htseq","SI.Early.Enterocyte"
"122","SRR5103572.A01.htseq","SI.Early.Enterocyte"
"1826","SRR5103362.A01.htseq","SI.Tuft.Cells"
"1460","SRR5103099.A01.htseq","SI.TA.Cells"
"1745","NJA00109.D06.htseq","C.Stem"
"1461","SRR5103592.A01.htseq","SI.TA.Cells"
"1019","SRR5103219.A01.htseq","SI.Stem"
"123","SRR5103185.A01.htseq","SI.Early.Enterocyte"
"1462","NJA00103.C05.htseq","SI.TA.Cells"
"522","SRR5103419.A01.htseq","SI.Goblet"
"418","SRR5103226.A01.htseq","SI.Enteroendocrine"
"1463","SRR5103188.A01.htseq","SI.TA.Cells"
"1020","SRR5102483.A01.htseq","SI.Stem"
"325","NJA00103.B04.htseq","SI.Enterocyte.Progenitor"
"326","SRR5102769.A01.htseq","SI.Enterocyte.Progenitor"
"523","SRR5103252.A01.htseq","SI.Goblet"
"614","GFPneg.SI1.Singlet.2.B1.htseq","SI.Late.Enterocyte"
"1746","NJA00109.F12.htseq","C.Stem"
"1021","SRR5102851.A01.htseq","SI.Stem"
"1464","SRR5102715.A01.htseq","SI.TA.Cells"
"327","SRR5102479.A01.htseq","SI.Enterocyte.Progenitor"
"1022","SRR5102788.A01.htseq","SI.Stem"
"615","NJA00102.G08.htseq","SI.Late.Enterocyte"
"1465","SRR5103292.A01.htseq","SI.TA.Cells"
"328","SRR5103003.A01.htseq","SI.Enterocyte.Progenitor"
"329","SRR5102427.A01.htseq","SI.Enterocyte.Progenitor"
"1827","SRR5103462.A01.htseq","SI.Tuft.Cells"
"1466","NJA00103.G01.htseq","SI.TA.Cells"
"1023","SRR5103813.A01.htseq","SI.Stem"
"616","SRR5102383.A01.htseq","SI.Late.Enterocyte"
"1467","NJA00104.H03.htseq","SI.TA.Cells"
"124","SRR5103742.A01.htseq","SI.Early.Enterocyte"
"1468","SRR5102009.A01.htseq","SI.TA.Cells"
"330","SRR5103791.A01.htseq","SI.Enterocyte.Progenitor"
"1469","SRR5103831.A01.htseq","SI.TA.Cells"
"1644","GFPpos.C1.Singlet.4.F9.htseq","C.Colonocytes"
"125","NJA00104.G10.htseq","SI.Early.Enterocyte"
"1024","SRR5103404.A01.htseq","SI.Stem"
"331","SRR5102463.A01.htseq","SI.Enterocyte.Progenitor"
"1470","SRR5103564.A01.htseq","SI.TA.Cells"
"1025","SRR5102935.A01.htseq","SI.Stem"
"126","SRR5103825.A01.htseq","SI.Early.Enterocyte"
"524","SRR5103845.A01.htseq","SI.Goblet"
"1026","SRR5102585.A01.htseq","SI.Stem"
"678","SRR5103282.A01.htseq","SI.Paneth"
"525","SRR5103581.A01.htseq","SI.Goblet"
"1645","NJA00109.C06.htseq","C.Colonocytes"
"1027","SRR5103353.A01.htseq","SI.Stem"
"1028","SRR5102490.A01.htseq","SI.Stem"
"1471","NJA00104.D04.htseq","SI.TA.Cells"
"332","SRR5103756.A01.htseq","SI.Enterocyte.Progenitor"
"1747","GFPneg.C1.Singlet.4.A5.htseq","C.Stem"
"1686","GFPpos.C1.Singlet.4.F7.htseq","C.Goblet"
"1828","SRR5103172.A01.htseq","SI.Tuft.Cells"
"1687","GFPpos.C1.Singlet.4.F8.htseq","C.Goblet"
"1472","SRR5102465.A01.htseq","SI.TA.Cells"
"127","SRR5103504.A01.htseq","SI.Early.Enterocyte"
"1688","NJA00109.D02.htseq","C.Goblet"
"1473","GFPneg.SI1.Singlet.2.E3.htseq","SI.TA.Cells"
"1029","SRR5103539.A01.htseq","SI.Stem"
"526","SRR5103702.A01.htseq","SI.Goblet"
"1030","SRR5102882.A01.htseq","SI.Stem"
"1474","SRR5103290.A01.htseq","SI.TA.Cells"
"1646","NJA00109.G05.htseq","C.Colonocytes"
"1031","SRR5102572.A01.htseq","SI.Stem"
"333","SRR5103502.A01.htseq","SI.Enterocyte.Progenitor"
"419","GFPneg.C1.Singlet.4.B6.htseq","SI.Enteroendocrine"
"1032","SRR5102890.A01.htseq","SI.Stem"
"1033","SRR5103203.A01.htseq","SI.Stem"
"1475","SRR5103544.A01.htseq","SI.TA.Cells"
"1829","GFPneg.SI1.Singlet.2.B7.htseq","SI.Tuft.Cells"
"1034","SRR5103394.A01.htseq","SI.Stem"
"527","SRR5102717.A01.htseq","SI.Goblet"
"1476","SRR5103250.A01.htseq","SI.TA.Cells"
"528","SRR5103238.A01.htseq","SI.Goblet"
"1035","SRR5102615.A01.htseq","SI.Stem"
"1647","NJA00109.C12.htseq","C.Colonocytes"
"334","SRR5103855.A01.htseq","SI.Enterocyte.Progenitor"
"1036","SRR5102737.A01.htseq","SI.Stem"
"1830","SRR5103466.A01.htseq","SI.Tuft.Cells"
"128","SRR5103858.A01.htseq","SI.Early.Enterocyte"
"1037","SRR5102511.A01.htseq","SI.Stem"
"335","SRR5102464.A01.htseq","SI.Enterocyte.Progenitor"
"1038","SRR5103447.A01.htseq","SI.Stem"
"679","SRR5103662.A01.htseq","SI.Paneth"
"129","SRR5102959.A01.htseq","SI.Early.Enterocyte"
"1039","SRR5103440.A01.htseq","SI.Stem"
"130","SRR5102838.A01.htseq","SI.Early.Enterocyte"
"1477","SRR5102634.A01.htseq","SI.TA.Cells"
"336","SRR5102671.A01.htseq","SI.Enterocyte.Progenitor"
"529","SRR5103138.A01.htseq","SI.Goblet"
"337","SRR5103645.A01.htseq","SI.Enterocyte.Progenitor"
"338","SRR5103780.A01.htseq","SI.Enterocyte.Progenitor"
"1748","GFPpos.C1.Singlet.4.C10.htseq","C.Stem"
"1040","NJA00104.D09.htseq","SI.Stem"
"339","SRR5103485.A01.htseq","SI.Enterocyte.Progenitor"
"340","SRR5102050.A01.htseq","SI.Enterocyte.Progenitor"
"1478","SRR5102731.A01.htseq","SI.TA.Cells"
"1479","GFPneg.SI1.Singlet.2.G10.htseq","SI.TA.Cells"
"1480","SRR5102743.A01.htseq","SI.TA.Cells"
"420","SRR5103800.A01.htseq","SI.Enteroendocrine"
"1481","SRR5102744.A01.htseq","SI.TA.Cells"
"341","SRR5103650.A01.htseq","SI.Enterocyte.Progenitor"
"1041","SRR5103128.A01.htseq","SI.Stem"
"680","SRR5102066.A01.htseq","SI.Paneth"
"1042","SRR5102859.A01.htseq","SI.Stem"
"342","NJA00103.A01.htseq","SI.Enterocyte.Progenitor"
"530","SRR5103506.A01.htseq","SI.Goblet"
"1749","GFPneg.C1.Singlet.4.D6.htseq","C.Stem"
"1482","SRR5102930.A01.htseq","SI.TA.Cells"
"531","SRR5103799.A01.htseq","SI.Goblet"
"343","SRR5102388.A01.htseq","SI.Enterocyte.Progenitor"
"1043","SRR5103420.A01.htseq","SI.Stem"
"1483","SRR5103648.A01.htseq","SI.TA.Cells"
"1044","SRR5103086.A01.htseq","SI.Stem"
"1045","SRR5102758.A01.htseq","SI.Stem"
"1831","SRR5103519.A01.htseq","SI.Tuft.Cells"
"1750","NJA00109.E05.htseq","C.Stem"
"1046","SRR5102762.A01.htseq","SI.Stem"
"131","SRR5102956.A01.htseq","SI.Early.Enterocyte"
"1484","SRR5102712.A01.htseq","SI.TA.Cells"
"1485","SRR5102395.A01.htseq","SI.TA.Cells"
"1047","SRR5103379.A01.htseq","SI.Stem"
"1689","NJA00109.B06.htseq","C.Goblet"
"1486","NJA00103.D04.htseq","SI.TA.Cells"
"1487","NJA00104.H04.htseq","SI.TA.Cells"
"1884","NJA00102.F01.htseq","Blood.Cells"
"1488","SRR5102820.A01.htseq","SI.TA.Cells"
"1489","NJA00103.G02.htseq","SI.TA.Cells"
"1490","SRR5102741.A01.htseq","SI.TA.Cells"
"532","SRR5102498.A01.htseq","SI.Goblet"
"1048","SRR5102928.A01.htseq","SI.Stem"
"344","SRR5102941.A01.htseq","SI.Enterocyte.Progenitor"
"132","SRR5103488.A01.htseq","SI.Early.Enterocyte"
"1049","SRR5103078.A01.htseq","SI.Stem"
"345","SRR5101994.A01.htseq","SI.Enterocyte.Progenitor"
"1491","SRR5103024.A01.htseq","SI.TA.Cells"
"1050","SRR5102566.A01.htseq","SI.Stem"
"1051","SRR5103437.A01.htseq","SI.Stem"
"1052","SRR5102862.A01.htseq","SI.Stem"
"1690","GFPneg.C1.Singlet.4.H4.htseq","C.Goblet"
"533","SRR5103153.A01.htseq","SI.Goblet"
"1492","SRR5103713.A01.htseq","SI.TA.Cells"
"1053","SRR5102924.A01.htseq","SI.Stem"
"133","SRR5103493.A01.htseq","SI.Early.Enterocyte"
"1493","SRR5102506.A01.htseq","SI.TA.Cells"
"346","SRR5102115.A01.htseq","SI.Enterocyte.Progenitor"
"1494","SRR5102385.A01.htseq","SI.TA.Cells"
"1495","SRR5103234.A01.htseq","SI.TA.Cells"
"681","SRR5103668.A01.htseq","SI.Paneth"
"134","SRR5101956.A01.htseq","SI.Early.Enterocyte"
"682","SRR5103140.A01.htseq","SI.Paneth"
"1496","SRR5103382.A01.htseq","SI.TA.Cells"
"1497","NJA00104.E06.htseq","SI.TA.Cells"
"534","SRR5102358.A01.htseq","SI.Goblet"
"1498","NJA00103.A03.htseq","SI.TA.Cells"
"1832","SRR5103499.A01.htseq","SI.Tuft.Cells"
"1499","NJA00104.D03.htseq","SI.TA.Cells"
"617","NJA00102.C05.htseq","SI.Late.Enterocyte"
"1054","SRR5102775.A01.htseq","SI.Stem"
"1055","SRR5103055.A01.htseq","SI.Stem"
"535","SRR5103225.A01.htseq","SI.Goblet"
"618","SRR5101969.A01.htseq","SI.Late.Enterocyte"
"1691","NJA00109.H09.htseq","C.Goblet"
"1500","SRR5103624.A01.htseq","SI.TA.Cells"
"347","SRR5103617.A01.htseq","SI.Enterocyte.Progenitor"
"421","SRR5102424.A01.htseq","SI.Enteroendocrine"
"348","SRR5102452.A01.htseq","SI.Enterocyte.Progenitor"
"1056","SRR5102763.A01.htseq","SI.Stem"
"1057","SRR5103091.A01.htseq","SI.Stem"
"1058","SRR5103084.A01.htseq","SI.Stem"
"1059","SRR5103051.A01.htseq","SI.Stem"
"135","SRR5103509.A01.htseq","SI.Early.Enterocyte"
"349","SRR5102811.A01.htseq","SI.Enterocyte.Progenitor"
"1060","SRR5102478.A01.htseq","SI.Stem"
"1061","NJA00104.B05.htseq","SI.Stem"
"1501","NJA00103.A06.htseq","SI.TA.Cells"
"1692","NJA00109.H01.htseq","C.Goblet"
"350","SRR5101980.A01.htseq","SI.Enterocyte.Progenitor"
"1062","SRR5103062.A01.htseq","SI.Stem"
"1063","SRR5103007.A01.htseq","SI.Stem"
"351","SRR5103770.A01.htseq","SI.Enterocyte.Progenitor"
"1502","SRR5103767.A01.htseq","SI.TA.Cells"
"1503","SRR5103027.A01.htseq","SI.TA.Cells"
"136","SRR5103023.A01.htseq","SI.Early.Enterocyte"
"1064","SRR5103686.A01.htseq","SI.Stem"
"1504","SRR5102697.A01.htseq","SI.TA.Cells"
"137","SRR5103026.A01.htseq","SI.Early.Enterocyte"
"1505","SRR5103207.A01.htseq","SI.TA.Cells"
"138","SRR5103569.A01.htseq","SI.Early.Enterocyte"
"1648","NJA00109.G03.htseq","C.Colonocytes"
"139","SRR5103737.A01.htseq","SI.Early.Enterocyte"
"1649","NJA00109.G01.htseq","C.Colonocytes"
"352","SRR5103004.A01.htseq","SI.Enterocyte.Progenitor"
"1833","SRR5103458.A01.htseq","SI.Tuft.Cells"
"353","SRR5102088.A01.htseq","SI.Enterocyte.Progenitor"
"536","SRR5103308.A01.htseq","SI.Goblet"
"1506","NJA00103.F06.htseq","SI.TA.Cells"
"1065","SRR5102870.A01.htseq","SI.Stem"
"1066","SRR5103105.A01.htseq","SI.Stem"
"1507","SRR5103339.A01.htseq","SI.TA.Cells"
"1834","SRR5102901.A01.htseq","SI.Tuft.Cells"
"1508","SRR5103018.A01.htseq","SI.TA.Cells"
"1067","SRR5102544.A01.htseq","SI.Stem"
"619","SRR5102166.A01.htseq","SI.Late.Enterocyte"
"1835","SRR5103467.A01.htseq","SI.Tuft.Cells"
"1068","SRR5102635.A01.htseq","SI.Stem"
"1509","SRR5102972.A01.htseq","SI.TA.Cells"
"354","SRR5102619.A01.htseq","SI.Enterocyte.Progenitor"
"140","SRR5103745.A01.htseq","SI.Early.Enterocyte"
"1069","SRR5103421.A01.htseq","SI.Stem"
"1510","SRR5103021.A01.htseq","SI.TA.Cells"
"620","GFPneg.SI1.Singlet.2.D9.htseq","SI.Late.Enterocyte"
"355","SRR5103546.A01.htseq","SI.Enterocyte.Progenitor"
"1650","GFPpos.C1.Singlet.4.B8.htseq","C.Colonocytes"
"537","SRR5103356.A01.htseq","SI.Goblet"
"1511","SRR5102760.A01.htseq","SI.TA.Cells"
"1512","SRR5103607.A01.htseq","SI.TA.Cells"
"1070","SRR5102889.A01.htseq","SI.Stem"
"1071","SRR5102858.A01.htseq","SI.Stem"
"1836","SRR5102892.A01.htseq","SI.Tuft.Cells"
"1751","NJA00109.A03.htseq","C.Stem"
"538","SRR5102496.A01.htseq","SI.Goblet"
"356","SRR5103189.A01.htseq","SI.Enterocyte.Progenitor"
"141","SRR5102430.A01.htseq","SI.Early.Enterocyte"
"1072","SRR5102756.A01.htseq","SI.Stem"
"142","SRR5103497.A01.htseq","SI.Early.Enterocyte"
"143","GFPneg.SI1.Singlet.2.C7.htseq","SI.Early.Enterocyte"
"357","SRR5102652.A01.htseq","SI.Enterocyte.Progenitor"
"422","SRR5102802.A01.htseq","SI.Enteroendocrine"
"1752","GFPneg.C1.Singlet.4.C5.htseq","C.Stem"
"1073","SRR5103037.A01.htseq","SI.Stem"
"1837","SRR5102916.A01.htseq","SI.Tuft.Cells"
"1074","SRR5102879.A01.htseq","SI.Stem"
"683","SRR5103361.A01.htseq","SI.Paneth"
"358","SRR5102405.A01.htseq","SI.Enterocyte.Progenitor"
"1838","SRR5103465.A01.htseq","SI.Tuft.Cells"
"1513","SRR5102703.A01.htseq","SI.TA.Cells"
"539","SRR5103297.A01.htseq","SI.Goblet"
"540","SRR5103654.A01.htseq","SI.Goblet"
"1839","SRR5103268.A01.htseq","SI.Tuft.Cells"
"1514","SRR5103696.A01.htseq","SI.TA.Cells"
"1075","SRR5103240.A01.htseq","SI.Stem"
"1840","SRR5102913.A01.htseq","SI.Tuft.Cells"
"423","GFPneg.SI1.Singlet.2.G3.htseq","SI.Enteroendocrine"
"541","SRR5103669.A01.htseq","SI.Goblet"
"359","SRR5103781.A01.htseq","SI.Enterocyte.Progenitor"
"1515","SRR5102071.A01.htseq","SI.TA.Cells"
"1076","SRR5103723.A01.htseq","SI.Stem"
"542","SRR5103675.A01.htseq","SI.Goblet"
"424","SRR5102447.A01.htseq","SI.Enteroendocrine"
"1516","SRR5103048.A01.htseq","SI.TA.Cells"
"360","SRR5103633.A01.htseq","SI.Enterocyte.Progenitor"
"361","SRR5102454.A01.htseq","SI.Enterocyte.Progenitor"
"1077","SRR5103543.A01.htseq","SI.Stem"
"1517","SRR5102968.A01.htseq","SI.TA.Cells"
"1078","SRR5102953.A01.htseq","SI.Stem"
"1079","SRR5102568.A01.htseq","SI.Stem"
"144","SRR5103321.A01.htseq","SI.Early.Enterocyte"
"1080","SRR5103104.A01.htseq","SI.Stem"
"1518","SRR5103827.A01.htseq","SI.TA.Cells"
"145","SRR5103520.A01.htseq","SI.Early.Enterocyte"
"1081","SRR5103402.A01.htseq","SI.Stem"
"1082","SRR5103431.A01.htseq","SI.Stem"
"1519","SRR5102943.A01.htseq","SI.TA.Cells"
"621","GFPneg.SI1.Singlet.2.C8.htseq","SI.Late.Enterocyte"
"362","GFPneg.SI1.Singlet.2.E4.htseq","SI.Enterocyte.Progenitor"
"1841","SRR5103271.A01.htseq","SI.Tuft.Cells"
"425","SRR5103838.A01.htseq","SI.Enteroendocrine"
"1520","SRR5103608.A01.htseq","SI.TA.Cells"
"1521","SRR5102046.A01.htseq","SI.TA.Cells"
"1083","SRR5103864.A01.htseq","SI.Stem"
"1522","SRR5102058.A01.htseq","SI.TA.Cells"
"543","GFPneg.SI1.Singlet.2.G6.htseq","SI.Goblet"
"1523","SRR5102627.A01.htseq","SI.TA.Cells"
"1753","GFPneg.C1.Singlet.4.E5.htseq","C.Stem"
"1842","SRR5102471.A01.htseq","SI.Tuft.Cells"
"1084","SRR5102595.A01.htseq","SI.Stem"
"622","GFPneg.SI1.Singlet.2.C2.htseq","SI.Late.Enterocyte"
"1085","SRR5103200.A01.htseq","SI.Stem"
"544","SRR5103320.A01.htseq","SI.Goblet"
"1086","SRR5103043.A01.htseq","SI.Stem"
"1524","NJA00104.H01.htseq","SI.TA.Cells"
"1693","GFPneg.C1.Singlet.4.B1.htseq","C.Goblet"
"1087","SRR5102578.A01.htseq","SI.Stem"
"146","SRR5103180.A01.htseq","SI.Early.Enterocyte"
"1525","SRR5103435.A01.htseq","SI.TA.Cells"
"426","SRR5102534.A01.htseq","SI.Enteroendocrine"
"1088","SRR5103082.A01.htseq","SI.Stem"
